searge,name,side,desc
func_70029_a,setWorld,0,Sets the reference to the World object.
func_70030_z,onEntityUpdate,0,Gets called every tick from main Entity class
func_70031_b,setSprinting,0,Set sprinting switch for Entity.
func_70032_d,getDistanceToEntity,0,Returns the distance to the entity. Args: entity
func_70033_W,getYOffset,0,Returns the Y Offset of this entity.
func_70034_d,setRotationYawHead,0,Sets the head's yaw rotation of the entity.
func_70035_c,getLastActiveItems,0,
func_70036_a,playStepSound,0,"Plays step sound at given x, y, z for the entity"
func_70037_a,readEntityFromNBT,0,(abstract) Protected helper method to read subclass entity data from NBT.
func_70038_c,isOffsetPositionInLiquid,0,"Checks if the offset position from the entity's current position is inside of liquid. Args: x, y, z"
func_70039_c,addEntityID,0,adds the ID of this entity to the NBT given
func_70040_Z,getLookVec,0,returns a (normalized) vector of where this entity is looking
func_70041_e_,canTriggerWalking,0,returns if this entity triggers Block.onEntityWalking on the blocks they walk on. used for spiders and wolves to prevent them from trampling crops
func_70042_X,getMountedYOffset,0,Returns the Y offset from the entity's position for any entity riding this one.
func_70043_V,updateRiderPosition,0,
func_70044_A,setOnFireFromLava,0,Called whenever the entity is walking inside of lava.
func_70045_F,isImmuneToFire,0,
func_70046_E,getBoundingBox,0,returns the bounding box for this entity
func_70047_e,getEyeHeight,0,
func_70048_i,pushOutOfBlocks,0,"Adds velocity to push the entity out of blocks at the specified x, y, z position Args: x, y, z"
func_70049_a,newFloatNBTList,0,Returns a new NBTTagList filled with the specified floats
func_70050_g,setAir,0,
func_70051_ag,isSprinting,0,Get if the Entity is sprinting.
func_70052_a,setFlag,0,"Enable or disable a entity flag, see getEntityFlag to read the know flags."
func_70053_R,getShadowSize,0,
func_70054_a,dropItemWithOffset,0,"Drops an item stack with a specified y offset. Args: itemID, count, yOffset"
func_70055_a,isInsideOfMaterial,0,Checks if the current block the entity is within of the specified material type
func_70056_a,setPositionAndRotation2,0,"Sets the position and rotation. Only difference from the other one is no bounding on the rotation. Args: posX, posY, posZ, yaw, pitch"
func_70057_ab,performHurtAnimation,0,Setups the entity to do the hurt animation. Only used by packets in multiplayer.
func_70058_J,handleLavaMovement,0,Whether or not the current entity is in lava
func_70059_ac,updateCloak,0,
func_70060_a,moveFlying,0,Used in both water and by flying objects
func_70061_h,unmountEntity,0,Called when a player unounts an entity.
func_70062_b,setCurrentItemOrArmor,0,"Sets the held item, or an armor slot. Slot 0 is held item. Slot 1-4 is armor. Params: Item, slot"
func_70063_aa,setInPortal,0,Called by portal blocks when an entity is within it.
func_70064_a,updateFallState,0,"Takes in the distance the entity has fallen this tick and whether its on the ground to update the fall distance and deal fall damage if landing on the ground.  Args: distanceFallenThisTick, onGround"
func_70065_x,preparePlayerToSpawn,0,Keeps moving the entity up so it isn't colliding with blocks and other requirements for this entity to be spawned (only actually used on players though its also on Entity)
func_70066_B,extinguish,0,Removes fire from entity.
func_70067_L,canBeCollidedWith,0,Returns true if other Entities should be prevented from moving through this Entity.
func_70068_e,getDistanceSqToEntity,0,Returns the squared distance to the entity. Args: entity
func_70069_a,fall,0,Called when the mob is falling. Calculates and applies fall damage.
func_70070_b,getBrightnessForRender,0,
func_70071_h_,onUpdate,0,Called to update the entity's position/logic.
func_70072_I,handleWaterMovement,0,Returns if this entity is in water and will end up adding the waters velocity to the entity
func_70073_O,getTexture,0,Returns the texture's file path as a String.
func_70074_a,onKillEntity,0,This method gets called when the entity kills another one.
func_70075_an,canAttackWithItem,0,"If returns false, the item will not inflict any damage against entities."
func_70076_C,kill,0,sets the dead flag. Used when you fall off the bottom of the world.
func_70077_a,onStruckByLightning,0,Called when a lightning bolt hits the entity.
func_70078_a,mountEntity,0,"Called when a player mounts an entity. e.g. mounts a pig, mounts a boat."
func_70079_am,getRotationYawHead,0,
func_70080_a,setPositionAndRotation,0,"Sets the entity's position and rotation. Args: posX, posY, posZ, yaw, pitch"
func_70081_e,dealFireDamage,0,Will deal the specified amount of damage to the entity if the entity isn't immune to fire damage. Args: amountDamage
func_70082_c,setAngles,0,"Adds par1*0.15 to the entity's yaw, and *subtracts* par2*0.15 from the pitch. Clamps pitch from -90 to 90. Both arguments in degrees."
func_70083_f,getFlag,0,Returns true if the flag is active for the entity. Known flags: 0) is burning; 1) is sneaking; 2) is riding something; 3) is sprinting; 4) is eating
func_70084_c,addToPlayerScore,0,"Adds a value to the player score. Currently not actually used and the entity passed in does nothing. Args: entity, scoreToAdd"
func_70085_c,interact,0,"Called when a player interacts with a mob. e.g. gets milk from a cow, gets into the saddle on a pig."
func_70086_ai,getAir,0,
func_70087_a,newDoubleNBTList,0,creates a NBT list from the array of doubles passed to this function
func_70088_a,entityInit,0,
func_70089_S,isEntityAlive,0,Checks whether target entity is alive.
func_70090_H,isInWater,0,Checks if this entity is inside water (if inWater field is true as a result of handleWaterMovement() returning true)
func_70091_d,moveEntity,0,"Tries to moves the entity by the passed in displacement. Args: x, y, z"
func_70092_e,getDistanceSq,0,"Gets the squared distance to the position. Args: x, y, z"
func_70093_af,isSneaking,0,Returns if this entity is sneaking.
func_70094_T,isEntityInsideOpaqueBlock,0,Checks if this entity is inside of an opaque block
func_70095_a,setSneaking,0,Sets the sneaking flag.
func_70096_w,getDataWatcher,0,
func_70097_a,attackEntityFrom,0,Called when the entity is attacked.
func_70098_U,updateRidden,0,Handles updating while being ridden by an entity
func_70099_a,entityDropItem,0,Drops an item at the position of the entity.
func_70100_b_,onCollideWithPlayer,0,Called by a player entity when they collide with an entity
func_70101_b,setRotation,0,Sets the rotation of the entity
func_70102_a,isInRangeToRenderVec3D,0,Checks using a Vec3d to determine if this entity is within range of that vector to be rendered. Args: vec3D
func_70103_a,handleHealthUpdate,0,
func_70104_M,canBePushed,0,Returns true if this entity should push and be pushed by other entities when colliding.
func_70105_a,setSize,0,"Sets the width and height of the entity. Args: width, height"
func_70106_y,setDead,0,Will get destroyed next tick.
func_70107_b,setPosition,0,"Sets the x,y,z of the entity from the given parameters. Also seems to set up a bounding box."
func_70108_f,applyEntityCollision,0,Applies a velocity to each of the entities pushing them away from each other. Args: entity
func_70109_d,writeToNBT,0,Save the entity to NBT (calls an abstract helper method to write extra data)
func_70110_aj,setInWeb,0,Sets the Entity inside a web block.
func_70111_Y,getCollisionBorderSize,0,
func_70112_a,isInRangeToRenderDist,0,Checks if the entity is in range to render by using the past in distance and comparing it to its average edge length * 64 * renderDistanceWeight Args: distance
func_70113_ah,isEating,0,
func_70114_g,getCollisionBox,0,"Returns a boundingBox used to collide the entity with other entities and blocks. This enables the entity to be pushable on contact, like boats or minecarts."
func_70115_ae,isRiding,0,"Returns true if the entity is riding another entity, used by render to rotate the legs to be in 'sit' position for players."
func_70184_a,onImpact,0,Called when this EntityThrowable hits a block or entity.
func_70185_h,getGravityVelocity,0,Gets the amount of gravity to apply to the thrown entity with each tick.
func_70186_c,setThrowableHeading,0,"Similar to setArrowHeading, it's point the throwable entity to a x, y, z direction."
func_70196_i,getPotionDamage,0,Returns the damage value of the thrown potion that this EntityPotion represents.
func_70198_d,catchFish,0,
func_70199_c,calculateVelocity,0,
func_70220_a,moveTowards,0,"The location the eye should float/move towards. Currently used for moving towards the nearest stronghold. Args: strongholdX, strongholdY, strongholdZ"
func_70227_a,onImpact,0,Called when this EntityFireball hits a block or entity.
func_70239_b,setDamage,0,
func_70240_a,setKnockbackStrength,0,Sets the amount of knockback the arrow applies when it hits a mob.
func_70241_g,getIsCritical,0,Whether the arrow has a stream of critical hit particles flying behind it.
func_70242_d,getDamage,0,
func_70243_d,setIsCritical,0,Whether the arrow has a stream of critical hit particles flying behind it.
func_70265_b,setTimeSinceHit,0,Sets the time to count down from since the last time entity was hit.
func_70266_a,setDamageTaken,0,Sets the damage taken from the last hit.
func_70267_i,getForwardDirection,0,Gets the forward direction of the entity.
func_70268_h,getTimeSinceHit,0,Gets the time since the last hit.
func_70269_c,setForwardDirection,0,Sets the forward direction of the entity.
func_70271_g,getDamageTaken,0,Gets the damage taken from the last hit.
func_70283_d,getWorld,0,
func_70288_d,setAgeToCreativeDespawnTime,0,sets the age of the item so that it'll despawn one minute after it has been dropped (instead of five). Used when items are dropped from players in creative mode
func_70289_a,combineItems,0,Tries to merge this item with the item passed as the parameter. Returns true if successful. Either this item or the other item will  be removed from the world.
func_70295_k_,openChest,0,
func_70296_d,onInventoryChanged,0,"Called when an the contents of an Inventory change, usually"
func_70297_j_,getInventoryStackLimit,0,"Returns the maximum stack size for a inventory slot. Seems to always be 64, possibly will be extended. *Isn't this more of a set than a get?*"
func_70298_a,decrStackSize,0,Removes from an inventory slot (first arg) up to a specified number (second arg) of items and returns them in a new stack.
func_70299_a,setInventorySlotContents,0,Sets the given item stack to the specified slot in the inventory (can be crafting or armor sections).
func_70300_a,isUseableByPlayer,0,Do not make give this method the name canInteractWith because it clashes with Container
func_70301_a,getStackInSlot,0,Returns the stack in slot i
func_70302_i_,getSizeInventory,0,Returns the number of slots in the inventory.
func_70303_b,getInvName,0,Returns the name of the inventory.
func_70304_b,getStackInSlotOnClosing,0,"When some containers are closed they call this on each slot, then drop whatever it returns as an EntityItem - like when you close a workbench GUI."
func_70305_f,closeChest,0,
func_70306_a,addMapping,0,Adds a new two-way mapping between the class and its string name in both hashmaps.
func_70307_a,readFromNBT,0,Reads a tile entity from NBT.
func_70308_a,setWorldObj,0,Sets the worldObj for this tileEntity.
func_70310_b,writeToNBT,0,Writes a tile entity to NBT.
func_70311_o,getBlockType,0,Gets the block type at the location of this entity (client-only).
func_70312_q,validate,0,validates a tile entity
func_70313_j,invalidate,0,invalidates a tile entity
func_70314_l,getWorldObj,0,Returns the worldObj for this tileEntity.
func_70315_b,receiveClientEvent,0,"Called when a client event is received with the event number and argument, see World.sendClientEvent"
func_70316_g,updateEntity,0,"Allows the entity to update its state. Overridden in most subclasses, e.g. the mob spawner uses this to count ticks and creates a new spawn inside its implementation."
func_70317_c,createAndLoadEntity,0,Creates a new entity and loads its data from the specified NBT.
func_70318_a,getDistanceFrom,0,Returns the square of the distance between this entity and the passed in coordinates.
func_70319_e,getDescriptionPacket,0,Overriden in a sign to provide the text.
func_70320_p,isInvalid,0,"returns true if tile entity is invalid, false otherwise"
func_70321_h,updateContainingBlockInfo,0,"Causes the TileEntity to reset all it's cached values for it's container block, blockID, metaData and in the case of chests, the adjcacent chest check"
func_70322_n,getBlockMetadata,0,Returns block data at the location of this entity (client-only).
func_70332_d,getOffsetZ,0,
func_70333_a,getProgress,0,Get interpolated progress value (between lastProgress and progress) given the fractional time between ticks as an argument.
func_70334_c,getOffsetY,0,
func_70335_a,updatePushedObjects,0,
func_70336_c,getPistonOrientation,0,Returns the orientation of the piston as an int
func_70337_b,getOffsetX,0,
func_70338_f,shouldRenderHead,0,
func_70339_i,clearPistonTileEntity,0,"removes a pistons tile entity (and if the piston is moving, stops it)"
func_70340_a,getStoredBlockID,0,
func_70341_b,isExtending,0,Returns true if a piston is extending
func_70350_k,canBrew,0,
func_70351_i,getFilledSlots,0,returns an integer with each bit specifying wether that slot of the stand contains a potion
func_70352_b,getPotionResult,0,The result of brewing a potion of the specified damage value with an ingredient itemstack.
func_70353_r,brewPotions,0,
func_70354_c,setBrewTime,0,
func_70355_t_,getBrewTime,0,
func_70360_a,addItem,0,Add item stack in first available inventory slot
func_70361_i,getRandomStackFromInventory,0,
func_70364_a,openChest,0,
func_70365_a,isUseableByPlayer,0,
func_70366_b,closeChest,0,
func_70397_c,getCookProgressScaled,0,Returns an integer between 0 and the passed value representing how close the current item is to being completely cooked
func_70398_a,getItemBurnTime,0,"Returns the number of ticks that the supplied fuel item will keep the furnace burning, or 0 if the item isn't fuel"
func_70399_k,smeltItem,0,Turn one item from the furnace source stack into the appropriate smelted item in the furnace result stack
func_70400_i,isBurning,0,Returns true if the furnace is currently burning
func_70401_b,isItemFuel,0,Return true if item is a fuel source (getItemBurnTime() > 0).
func_70402_r,canSmelt,0,"Returns true if the furnace can smelt an item, i.e. has a source item, destination stack isn't full, etc."
func_70403_d,getBurnTimeRemainingScaled,0,"Returns an integer between 0 and the passed value representing how much burn time is left on the current fuel item, where 0 means that the item is exhausted and the passed value means that the item is fresh"
func_70408_a,setEditable,0,Sets the sign's isEditable flag to the specified parameter.
func_70409_a,isEditable,0,
func_70413_a,changePitch,0,change pitch by -> (currentPitch + 1) % 25
func_70414_a,triggerNote,0,plays the stored note
func_70418_i,checkForAdjacentChests,0,Performs the check for adjacent chests to determine if this chest is double or not.
func_70429_k,decrementAnimations,0,Decrement the number of animations remaining. Only called on client side. This is used to handle the animation of receiving a block.
func_70430_l,getTotalArmorValue,0,"Based on the damage values and maximum damage values of each armor item, returns the current armor value."
func_70431_c,hasItemStack,0,Returns true if the specified ItemStack exists in the inventory.
func_70432_d,storeItemStack,0,stores an itemstack in the users inventory
func_70433_a,setCurrentItem,0,Sets a specific itemID as the current item being held (only if it exists on the hotbar)
func_70434_c,getInventorySlotContainItemAndDamage,0,
func_70435_d,consumeInventoryItem,0,"removed one item of specified itemID from inventory (if it is in a stack, the stack size will reduce with 1)"
func_70436_m,dropAllItems,0,Drop all armor and main inventory items.
func_70437_b,setItemStack,0,
func_70438_a,getStrVsBlock,0,"Gets the strength of the current item (tool) against the specified block, 1.0f if not holding anything."
func_70440_f,armorItemInSlot,0,returns a player armor item (as itemstack) contained in specified armor slot.
func_70441_a,addItemStackToInventory,0,"Adds the item stack to the inventory, returns false if it is impossible."
func_70442_a,writeToNBT,0,"Writes the inventory out as a list of compound tags. This is where the slot indices are used (+100 for armor, +80 for crafting)."
func_70443_b,readFromNBT,0,Reads from the given tag list and fills the slots in the inventory with the correct items.
func_70444_a,getDamageVsEntity,0,"Return damage vs an entity done by the current held weapon, or 1 if nothing is held"
func_70445_o,getItemStack,0,
func_70446_h,getInventorySlotContainItem,0,Returns a slot index in main inventory containing a specific itemID
func_70447_i,getFirstEmptyStack,0,Returns the first item stack that is empty.
func_70448_g,getCurrentItem,0,Returns the item stack currently held by the player.
func_70449_g,damageArmor,0,Damages armor in each slot by the specified amount.
func_70450_e,hasItem,0,Get if a specifiied item id is inside the inventory.
func_70451_h,getHotbarSize,0,Get the size of the player hotbar inventory
func_70452_e,storePartialItemStack,0,This function stores as many items of an ItemStack as possible in a matching slot and returns the quantity of left over items.
func_70453_c,changeCurrentItem,0,Switch the current item to the next one or the previous one
func_70454_b,canHarvestBlock,0,Returns whether the current item (tool) can harvest from the specified block (actually get a result).
func_70455_b,copyInventory,0,Copy the ItemStack contents from another InventoryPlayer instance
func_70463_b,getStackInRowAndColumn,0,"Returns the itemstack in the slot specified (Top left is 0, 0). Args: row, column"
func_70468_h,getCurrentRecipe,0,
func_70469_d,inventoryResetNeededOnSlotChange,0,"if par1 slot has changed, does resetRecipeAndSlots need to be called?"
func_70470_g,resetRecipeAndSlots,0,
func_70471_c,setCurrentRecipeIndex,0,
func_70485_a,setAssociatedChest,0,
func_70486_a,loadInventoryFromNBT,0,
func_70487_g,saveInventoryToNBT,0,
func_70491_i,getDamage,0,Gets the current amount of damage the minecart has taken. Decreases over time. The cart breaks when this is over 40.
func_70492_c,setDamage,0,Sets the current amount of damage the minecart has taken. Decreases over time. The cart breaks when this is over 40.
func_70493_k,getRollingDirection,0,Gets the rolling direction the cart rolls while being attacked. Can be 1 or -1.
func_70494_i,setRollingDirection,0,Sets the rolling direction the cart rolls while being attacked. Can be 1 or -1.
func_70496_j,getRollingAmplitude,0,Gets the rolling amplitude the cart rolls while being attacked.
func_70497_h,setRollingAmplitude,0,Sets the rolling amplitude the cart rolls while being attacked.
func_70515_d,explode,0,
func_70518_d,onValidSurface,0,checks to make sure painting can be placed there
func_70526_d,getXpValue,0,Returns the XP value of this XP orb.
func_70527_a,getXPSplit,0,Get xp split rate (Is called until the xp drop code in EntityLiving.onEntityUpdate is complete)
func_70528_g,getTextureByXP,0,Returns a number from 1 to 10 based on how much XP this orb is worth. This is used by RenderXPOrb to determine what texture to use.
func_70534_d,getRedColorF,0,
func_70535_g,getBlueColorF,0,
func_70536_a,setParticleTextureIndex,0,Public method to set private field particleTextureIndex.
func_70537_b,getFXLayer,0,
func_70538_b,setRBGColorF,0,
func_70539_a,renderParticle,0,
func_70541_f,multipleParticleScaleBy,0,
func_70542_f,getGreenColorF,0,
func_70543_e,multiplyVelocity,0,
func_70589_b,setBaseSpellTextureIndex,0,Sets the base spell texture index
func_70598_b,setHomeArea,0,
func_70599_aP,getSoundVolume,0,Returns the volume for the sounds this mob makes.
func_70600_l,dropRareDrop,0,
func_70601_bi,getCanSpawnHere,0,Checks if the entity's current position is a valid location to spawn this entity.
func_70602_aC,getHomePosition,0,
func_70603_bj,getRenderSizeModifier,0,Returns render size modifier
func_70604_c,setRevengeTarget,0,
func_70605_aq,getMoveHelper,0,
func_70606_j,setEntityHealth,0,
func_70607_j,setLastAttackingEntity,0,
func_70608_bn,isPlayerSleeping,0,Returns whether player is sleeping or not
func_70609_aI,onDeathUpdate,0,"handles entity death timer, experience orb and particle creation"
func_70610_aX,isMovementBlocked,0,Dead and sleeping entities cannot move
func_70611_aB,isWithinHomeDistanceCurrentPosition,0,Returns true if entity is within home distance from current position
func_70612_e,moveEntityWithHeading,0,"Moves the entity based on the specified heading.  Args: strafe, forward"
func_70613_aW,isClientWorld,0,Returns whether the entity is in a local (client) world
func_70614_a,rayTrace,0,"Performs a ray trace for the distance specified and using the partial tick time. Args: distance, partialTickTime"
func_70615_aA,eatGrassBonus,0,This function applies the benefits of growing back wool and faster growing up to the acting entity. (This function is used in the AIEatGrass)
func_70616_bs,getSpeedModifier,0,"This method returns a value to be applied directly to entity speed, this factor is less than 1 when a slowdown potion effect is applied, more than 1 when a haste potion effect is applied and 2 for fleeing entities."
func_70617_f_,isOnLadder,0,"returns true if this entity is by a ladder, false otherwise"
func_70618_n,removePotionEffectClient,0,Remove the speified potion effect from this entity.
func_70619_bc,updateAITasks,0,
func_70620_b,getItemIcon,0,Gets the Icon Index of the item currently held
func_70621_aR,getHurtSound,0,Returns the sound this mob makes when it is hurt.
func_70622_aF,hasHome,0,
func_70623_bb,despawnEntity,0,Makes the entity despawn if requirements are reached
func_70624_b,setAttackTarget,0,Sets the active target the Task system uses for tracking
func_70625_a,faceEntity,0,Changes pitch and yaw so that the entity calling the function is facing the entity provided as an argument.
func_70626_be,updateEntityActionState,0,
func_70627_aG,getTalkInterval,0,"Get number of ticks, at least during which the living entity will be silent."
func_70628_a,dropFewItems,0,Drop 0-2 items of this living's type. @param par1 - Whether this entity has recently been hit by a player. @param par2 - Level of Looting used to kill this mob.
func_70629_bd,updateAITick,0,"main AI tick function, replaces updateEntityActionState"
func_70630_aN,getHealth,0,
func_70631_g_,isChild,0,"If Animal, checks if the age timer is negative"
func_70632_aY,isBlocking,0,
func_70633_aT,getDropItemId,0,Returns the item ID for the item the mob drops on death.
func_70634_a,setPositionAndUpdate,0,"Move the entity to the coordinates informed, but keep yaw/pitch values."
func_70635_at,getEntitySenses,0,returns the EntitySenses Object for the EntityLiving
func_70636_d,onLivingUpdate,0,"Called frequently so the entity can update its state every tick as required. For example, zombies and skeletons use this to react to sunlight and start to burn."
func_70637_d,setJumping,0,
func_70638_az,getAttackTarget,0,Gets the active target the Task system uses for tracking
func_70639_aQ,getLivingSound,0,Returns the sound this mob makes while it's alive.
func_70640_aD,getMaximumHomeDistance,0,
func_70641_bl,getMaxSpawnedInChunk,0,Will return how many at most can spawn in a chunk at once.
func_70642_aH,playLivingSound,0,Plays living's sound at its position
func_70643_av,getAITarget,0,
func_70644_a,isPotionActive,0,
func_70645_a,onDeath,0,Called when the mob's health reaches 0.
func_70646_bf,getVerticalFaceSpeed,0,The speed it takes to move the entityliving's rotationPitch through the faceEntity method. This is only currently use in wolves.
func_70647_i,getSoundPitch,0,Gets the pitch of living sounds in living entities.
func_70648_aU,canBreatheUnderwater,0,
func_70649_d,isWithinHomeDistance,0,
func_70650_aV,isAIEnabled,0,Returns true if the newer Entity AI code should be run
func_70651_bq,getActivePotionEffects,0,
func_70652_k,attackEntityAsMob,0,
func_70653_a,knockBack,0,knocks back this entity
func_70654_ax,getAge,0,
func_70655_b,applyArmorCalculations,0,"Reduces damage, depending on armor"
func_70656_aK,spawnExplosionParticle,0,Spawns an explosion particle around the Entity's location
func_70657_f,setMoveForward,0,
func_70658_aO,getTotalArmorValue,0,Returns the current armor value as determined by a call to InventoryPlayer.getTotalArmorValue
func_70659_e,setAIMoveSpeed,0,set the movespeed used for the new AI system
func_70660_b,getActivePotionEffect,0,"returns the PotionEffect for the supplied Potion if it is active, null otherwise."
func_70661_as,getNavigator,0,
func_70662_br,isEntityUndead,0,Returns true if this entity is undead.
func_70663_b,updateRotation,0,"Arguments: current rotation, intended rotation, max increment."
func_70664_aZ,jump,0,Causes this entity to do an upwards motion (jumping).
func_70665_d,damageEntity,0,Deals damage to the entity. If its a EntityPlayer then will take damage from the armor first and then health second with the reduced value. Args: damageAmount
func_70666_h,getPosition,0,interpolated position vector
func_70667_aM,getMaxHealth,0,
func_70668_bt,getCreatureAttribute,0,Get this Entity's EnumCreatureAttribute
func_70669_a,renderBrokenItemStack,0,Renders broken item particles using the given ItemStack
func_70670_a,onNewPotionEffect,0,
func_70671_ap,getLookHelper,0,
func_70672_c,applyPotionDamageCalculations,0,"Reduces damage, depending on potions"
func_70673_aS,getDeathSound,0,Returns the sound this mob makes on death.
func_70674_bp,clearActivePotions,0,
func_70675_k,damageArmor,0,
func_70676_i,getLook,0,interpolated look vector
func_70677_aE,detachHome,0,
func_70678_g,getSwingProgress,0,Returns where in the swing animation the living entity is (from 0 to 1).  Args: partialTickTime
func_70679_bo,updatePotionEffects,0,
func_70680_aw,getLastAttackingEntity,0,
func_70681_au,getRNG,0,
func_70682_h,decreaseAirSupply,0,Decrements the entity's air supply when underwater
func_70683_ar,getJumpHelper,0,
func_70684_aJ,isPlayer,0,Only use is to identify if class is an instance of player for experience dropping
func_70685_l,canEntityBeSeen,0,returns true if the entity provided in the argument can be seen. (Raytrace)
func_70686_a,canAttackClass,0,Returns true if this entity can attack entities of the specified class.
func_70687_e,isPotionApplicable,0,
func_70688_c,onFinishedPotionEffect,0,
func_70689_ay,getAIMoveSpeed,0,the movespeed used for the new AI system
func_70690_d,addPotionEffect,0,adds a PotionEffect to the entity
func_70691_i,heal,0,Heal living entity (param: amount of half-hearts)
func_70692_ba,canDespawn,0,"Determines if an entity can be despawned, used on idle far away entities"
func_70693_a,getExperiencePoints,0,Get the experience points the entity currently has.
func_70694_bm,getHeldItem,0,"Returns the item that this EntityLiving is holding, if any."
func_70695_b,onChangedPotionEffect,0,
func_70777_m,getEntityToAttack,0,Returns current entities target
func_70778_a,setPathToEntity,0,sets the Entities walk path in EntityCreature
func_70779_j,updateWanderPath,0,Time remaining during which the Animal is sped up and flees.
func_70780_i,isMovementCeased,0,Disables a mob's ability to move on its own while true.
func_70781_l,hasPath,0,Returns true if entity has a path to follow
func_70782_k,findPlayerToAttack,0,"Finds the closest player within 16 blocks to attack, or null if this Entity isn't interested in attacking (Animals, Spiders at day, peaceful PigZombies)."
func_70783_a,getBlockPathWeight,0,"Takes a coordinate in and returns a weight to determine how likely this creature will try to path to the block. Args: x, y, z"
func_70784_b,setTarget,0,Sets the entity which is to be attacked.
func_70785_a,attackEntity,0,Basic mob attack. Default to touch of death in EntityCreature. Overridden by each mob to define their attack.
func_70790_a,isCourseTraversable,0,True if the ghast has an unobstructed line of travel to the waypoint.
func_70799_a,setSlimeSize,0,
func_70800_m,canDamagePlayer,0,Indicates weather the slime is able to damage the player (based upon the slime's size)
func_70801_i,getSlimeParticle,0,Returns the name of a particle effect that may be randomly created by EntitySlime.onUpdate()
func_70802_j,createInstance,0,
func_70803_o,getJumpSound,0,Returns the name of the sound played when the slime jumps.
func_70804_p,makesSoundOnLand,0,Returns true if the slime makes a sound when it lands after a jump (based upon the slime's size)
func_70805_n,getAttackStrength,0,"Gets the amount of damage dealt to the player when ""attacked"" by the slime."
func_70806_k,getJumpDelay,0,Gets the amount of time the slime needs to wait between jumps.
func_70807_r,makesSoundOnJump,0,Returns true if the slime makes a sound when it jumps (based upon the slime's size)
func_70809_q,getSlimeSize,0,Returns the size of the slime.
func_70814_o,isValidLightLevel,0,Checks to make sure the light is not too bright where the mob is spawning
func_70816_c,teleportToEntity,0,Teleport the enderman to another entity
func_70817_b,setCarryingData,0,Set the metadata of the block an enderman carries
func_70818_a,setCarried,0,Set the id of the block an enderman carries
func_70819_e,setScreaming,0,
func_70820_n,teleportRandomly,0,Teleport the enderman to a random nearby position
func_70821_d,shouldAttackPlayer,0,Checks to see if this enderman should be attacking this player
func_70822_p,getCarried,0,Get the id of the block an enderman carries
func_70823_r,isScreaming,0,
func_70824_q,getCarryingData,0,Get the metadata of the block an enderman carries
func_70825_j,teleportTo,0,Teleport the enderman
func_70829_a,setCreeperState,0,"Sets the state of creeper, -1 to idle and 1 to be 'in fuse'"
func_70830_n,getPowered,0,Returns true if the creeper is powered by a lightning bolt.
func_70831_j,getCreeperFlashIntensity,0,Params: (Float)Render tick. Returns the intensity of the creeper's flash when it is ignited.
