field_70172_ad,hurtResistantTime,0,"Remaining time an entity will be ""immune"" to further damage after being hurt."
field_70173_aa,ticksExisted,0,How many ticks has this entity had ran since being alive
field_70174_ab,fireResistance,0,The amount of ticks you have to stand inside of fire before be set on fire
field_70175_ag,addedToChunk,0,Has this entity been added to the chunk its within
field_70176_ah,chunkCoordX,0,
field_70177_z,rotationYaw,0,Entity rotation Yaw
field_70178_ae,isImmuneToFire,0,
field_70179_y,motionZ,0,Entity motion Z
field_70180_af,dataWatcher,0,
field_70181_x,motionY,0,Entity motion Y
field_70187_f,zTile,0,
field_70188_g,inTile,0,
field_70189_d,xTile,0,
field_70190_e,yTile,0,
field_70191_b,throwableShake,0,
field_70192_c,thrower,0,"Is the entity that throws this 'thing' (snowball, ender pearl, eye of ender or potion)"
field_70193_a,inGround,0,
field_70194_h,ticksInGround,0,
field_70195_i,ticksInAir,0,
field_70197_d,potionDamage,0,The damage value of the thrown potion that this EntityPotion represents.
field_70200_f,zTile,0,"The tile this entity is on, Z position"
field_70201_g,inTile,0,
field_70202_d,xTile,0,"The tile this entity is on, X position"
field_70203_e,yTile,0,"The tile this entity is on, Y position"
field_70204_b,angler,0,
field_70205_c,bobber,0,"The entity that the fishing rod is connected to, if any. When you right click on the fishing rod and the hook falls on to an entity, this it that entity."
field_70206_a,shake,0,
field_70207_at,fishPitch,0,
field_70208_as,fishYaw,0,
field_70209_ar,fishZ,0,
field_70210_aq,fishY,0,
field_70211_j,ticksInAir,0,
field_70212_aw,velocityZ,0,
field_70213_av,velocityY,0,
field_70214_h,inGround,0,
field_70215_au,velocityX,0,
field_70216_i,ticksInGround,0,
field_70217_ao,fishPosRotationIncrements,0,
field_70218_ap,fishX,0,
field_70219_an,ticksCatchable,0,the number of ticks remaining until this fish can no longer be caught
field_70221_f,shatterOrDrop,0,
field_70222_d,targetZ,0,'z' location the eye should float towards.
field_70223_e,despawnTimer,0,
field_70224_b,targetX,0,'x' location the eye should float towards.
field_70225_c,targetY,0,'y' location the eye should float towards.
field_70228_f,yTile,0,
field_70229_g,zTile,0,
field_70230_d,accelerationZ,0,
field_70231_e,xTile,0,
field_70232_b,accelerationX,0,
field_70233_c,accelerationY,0,
field_70234_an,ticksInAir,0,
field_70235_a,shootingEntity,0,
field_70236_j,ticksAlive,0,
field_70237_h,inTile,0,
field_70238_i,inGround,0,
field_70245_f,zTile,0,
field_70246_g,inTile,0,
field_70247_d,xTile,0,
field_70248_e,yTile,0,
field_70249_b,arrowShake,0,Seems to be some sort of timer for animating an arrow.
field_70250_c,shootingEntity,0,The owner of this arrow.
field_70251_a,canBePickedUp,0,1 if the player can pick up the arrow
field_70252_j,ticksInGround,0,
field_70253_h,inData,0,
field_70254_i,inGround,0,
field_70255_ao,damage,0,
field_70256_ap,knockbackStrength,0,The amount of knockback an arrow applies when it hits a mob.
field_70257_an,ticksInAir,0,
field_70258_b,name,0,The name of the Dragon Part
field_70259_a,entityDragonObj,0,The dragon entity this dragon part belongs to
field_70260_b,health,0,
field_70261_a,innerRotation,0,Used to create the rotation animation when rendering the crystal.
field_70262_b,lightningState,0,"Declares which state the lightning bolt is in. Whether it's in the air, hit the ground, etc."
field_70263_c,boltLivingTime,0,Determines the time before the EntityLightningBolt is destroyed. It is a random integer decremented over time.
field_70264_a,boltVertex,0,A random long that is used to change the vertex of the lightning rendered in RenderLightningBolt
field_70272_f,boatZ,0,
field_70273_g,boatYaw,0,
field_70274_d,boatX,0,
field_70275_e,boatY,0,
field_70276_b,speedMultiplier,0,
field_70277_c,boatPosRotationIncrements,0,
field_70278_an,velocityZ,0,
field_70280_j,velocityY,0,
field_70281_h,boatPitch,0,
field_70282_i,velocityX,0,
field_70284_d,shouldDropItem,0,
field_70285_b,metadata,0,
field_70286_c,fallTime,0,How long the block has been falling for.
field_70287_a,blockID,0,
field_70290_d,hoverStart,0,The EntityItem's random initial float height.
field_70291_e,health,0,"The health of this EntityItem. (For example, damage for tools)"
field_70292_b,age,0,The age of this EntityItem (used to animate it up and down as well as expire it)
field_70293_c,delayBeforeCanPickup,0,
field_70323_b,classToNameMap,0,A HashMap storing the classes and mapping to the string names (reverse of nameToClassMap).
field_70324_q,blockType,0,the Block type that this TileEntity is contained within
field_70325_p,blockMetadata,0,
field_70326_a,nameToClassMap,0,A HashMap storing string names of classes mapping to the actual java.lang.Class type.
field_70327_n,zCoord,0,The z coordinate of the tile entity.
field_70328_o,tileEntityInvalid,0,
field_70329_l,xCoord,0,The x coordinate of the tile entity.
field_70330_m,yCoord,0,The y coordinate of the tile entity.
field_70331_k,worldObj,0,The reference to the world.
field_70342_f,progress,0,
field_70343_g,lastProgress,0,the progress in (de)extending
field_70344_d,extending,0,if this piston is extending or not
field_70345_e,shouldHeadBeRendered,0,
field_70346_b,storedMetadata,0,
field_70347_c,storedOrientation,0,the side the front of the piston is on
field_70348_a,storedBlockID,0,
field_70349_h,pushedObjects,0,
field_70356_d,ingredientID,0,
field_70357_b,brewTime,0,
field_70358_c,filledSlots,0,an integer with each bit specifying whether that slot of the stand contains a potion
field_70359_a,brewingItemStacks,0,The itemstacks currently placed in the slots of the brewing stand
field_70362_b,dispenserRandom,0,random number generator for instance. Used in random item stack selection.
field_70363_a,dispenserContents,0,
field_70367_d,ticksSinceSync,0,Server sync counter (once per 20 ticks)
field_70368_b,prevLidAngle,0,The angle of the chest lid last tick
field_70369_c,numUsingPlayers,0,The number of players currently using this ender chest.
field_70370_a,lidAngle,0,The current angle of the chest lid (between 0 and 1)
field_70371_f,bookSpread,0,The amount that the book is open.
field_70372_g,bookSpreadPrev,0,The amount that the book is open.
field_70375_b,pageFlip,0,Value used for determining how the page flip should look.
field_70376_r,rand,0,
field_70377_c,pageFlipPrev,0,The last tick's pageFlip value.
field_70378_a,tickCount,0,Used by the render to make the book 'bounce'
field_70379_j,bookRotation,0,
field_70380_h,bookRotation2,0,
field_70381_i,bookRotationPrev,0,
field_70404_d,furnaceItemStacks,0,The ItemStacks that hold the items currently being used in the furnace
field_70405_b,currentItemBurnTime,0,The number of ticks that a fresh copy of the currently-burning item would keep the furnace burning for
field_70406_c,furnaceCookTime,0,The number of ticks that the current item has been cooking for
field_70407_a,furnaceBurnTime,0,The number of ticks that the furnace will keep burning
field_70410_b,lineBeingEdited,0,"The index of the line currently being edited. Only used on client side, but defined on both. Note this is only really used when the > < are going to be visible."
field_70411_c,isEditable,0,
field_70412_a,signText,0,An array of four strings storing the lines of text on the sign.
field_70415_b,previousRedstoneState,0,stores the latest redstone state
field_70416_a,note,0,Note to play
field_70417_a,record,0,ID of record which is in Jukebox
field_70419_f,lidAngle,0,The current angle of the lid (between 0 and 1)
field_70420_g,prevLidAngle,0,The angle of the lid last tick
field_70421_d,adjacentChestXNeg,0,Contains the chest tile located adjacent to this one (if any)
field_70422_e,adjacentChestZPosition,0,Contains the chest tile located adjacent to this one (if any)
field_70423_b,adjacentChestZNeg,0,Contains the chest tile located adjacent to this one (if any)
field_70424_c,adjacentChestXPos,0,Contains the chest tile located adjacent to this one (if any)
field_70425_a,adjacentChestChecked,0,Determines if the check for adjacent chests has taken place.
field_70426_j,ticksSinceSync,0,Server sync counter (once per 20 ticks)
field_70427_h,numUsingPlayers,0,The number of players currently using this chest
field_70428_i,chestContents,0,
field_70456_f,currentItemStack,0,The current ItemStack.
field_70457_g,itemStack,0,
field_70458_d,player,0,The player whose inventory this is.
field_70459_e,inventoryChanged,0,Set true whenever the inventory changes. Nothing sets it false so you will have to write your own code to check it and reset the value.
field_70460_b,armorInventory,0,An array of 4 item stacks containing the currently worn armor pieces.
field_70461_c,currentItem,0,The index of the currently held item (0-8).
field_70462_a,mainInventory,0,An array of 36 item stacks indicating the main player inventory (including the visible bar).
field_70464_b,inventoryWidth,0,the width of the crafting inventory
field_70465_c,eventHandler,0,Class containing the callbacks for the events on_GUIClosed and on_CraftMaxtrixChanged.
field_70466_a,stackList,0,List of the stacks in the crafting matrix.
field_70467_a,stackResult,0,A list of one item containing the result of the crafting formula
field_70472_d,currentRecipe,0,
field_70473_e,currentRecipeIndex,0,
field_70474_b,theInventory,0,
field_70475_c,thePlayer,0,
field_70476_a,theMerchant,0,
field_70477_b,upperChest,0,Inventory object corresponding to double chest upper part
field_70478_c,lowerChest,0,Inventory object corresponding to double chest lower part
field_70479_a,name,0,Name of the chest.
field_70481_b,slotsCount,0,
field_70482_c,inventoryContents,0,
field_70483_a,inventoryTitle,0,
field_70484_a,container,0,The brewing stand this slot belongs to.
field_70488_a,associatedChest,0,
field_70499_f,isInReverse,0,
field_70500_g,matrix,0,Minecart rotational logic matrix
field_70506_as,velocityZ,0,
field_70507_ar,velocityY,0,
field_70508_aq,velocityX,0,
field_70509_j,minecartY,0,
field_70510_h,turnProgress,0,appears to be the progress of the turn
field_70511_i,minecartX,0,
field_70512_ao,minecartYaw,0,
field_70513_ap,minecartPitch,0,
field_70514_an,minecartZ,0,
field_70516_a,fuse,0,How long the fuse is
field_70520_f,tickCounter1,0,
field_70521_d,zPosition,0,
field_70522_e,art,0,
field_70523_b,xPosition,0,
field_70524_c,yPosition,0,
field_70529_d,xpOrbHealth,0,The health of this XP orb.
field_70530_e,xpValue,0,This is how much XP this orb has.
field_70531_b,xpOrbAge,0,The age of the XP orb in ticks.
field_70533_a,xpColor,0,A constantly increasing value that RenderXPOrb uses to control the colour shifting (Green / yellow)
field_70544_f,particleScale,0,
field_70545_g,particleGravity,0,
field_70546_d,particleAge,0,
field_70547_e,particleMaxAge,0,
field_70548_b,particleTextureJitterX,0,
field_70549_c,particleTextureJitterY,0,
field_70550_a,particleIcon,0,The icon field from which the given particle pulls its texture.
field_70551_j,particleBlue,0,"The blue amount of color. Used as a percentage, 1.0 = 255 and 0.0 = 0."
field_70552_h,particleRed,0,"The red amount of color. Used as a percentage, 1.0 = 255 and 0.0 = 0."
field_70553_i,particleGreen,0,"The green amount of color. Used as a percentage, 1.0 = 255 and 0.0 = 0."
field_70554_ao,interpPosY,0,
field_70555_ap,interpPosZ,0,
field_70556_an,interpPosX,0,
field_70557_a,theEntity,0,Entity that had been hit and done the Critical hit on.
field_70558_as,particleName,0,
field_70559_ar,maximumLife,0,
field_70560_aq,currentLife,0,
field_70562_a,flameScale,0,the scale of the flame FX
field_70563_a,materialType,0,the material type for dropped items/blocks
field_70564_aq,bobTimer,0,The height of the current bob
field_70570_a,reddustParticleScale,0,
field_70571_a,portalParticleScale,0,
field_70572_as,portalPosZ,0,
field_70573_ar,portalPosY,0,
field_70574_aq,portalPosX,0,
field_70575_a,particleScaleOverTime,0,
field_70577_ar,currentFootSteps,0,
field_70579_a,timeSinceStart,0,
field_70580_aq,maximumTime,0,the maximum time for the explosion
field_70583_ar,theRenderEngine,0,The Rendering Engine.
field_70585_a,noteParticleScale,0,
field_70586_a,lavaParticleScale,0,
field_70587_a,smokeParticleScale,0,
field_70588_a,snowDigParticleScale,0,
field_70590_a,baseSpellTextureIndex,0,Base spell texture index
field_70591_a,entityToPickUp,0,
field_70592_at,yOffs,0,renamed from yOffset to fix shadowing Entity.yOffset
field_70593_as,maxAge,0,
field_70594_ar,age,0,
field_70595_aq,entityPickingUp,0,
field_70597_a,blockInstance,0,
field_70696_bz,attackTarget,0,The active target the Task system uses for tracking
field_70697_bw,moveSpeed,0,
field_70698_bv,defaultPitch,0,
field_70699_by,navigator,0,
field_70700_bx,numTicksToChaseTarget,0,How long to keep a specific target entity
field_70701_bs,moveForward,0,
field_70702_br,moveStrafing,0,
field_70703_bu,isJumping,0,used to check whether entity is jumping.
field_70704_bt,randomYawVelocity,0,
field_70705_bn,newRotationPitch,0,The new yaw rotation to be applied to the entity.
field_70707_bp,lastDamage,0,"Amount of damage taken in last hit, in half-hearts"
field_70708_bq,entityAge,0,"Holds the living entity age, used to control the despawn."
field_70709_bj,newPosX,0,The new X position to be applied to the entity.
field_70710_bk,newPosY,0,The new Y position to be applied to the entity.
field_70711_bl,newPosZ,0,The new Z position to be applied to the entity.
field_70712_bm,newRotationYaw,0,The new yaw rotation to be applied to the entity.
field_70713_bf,activePotionsMap,0,
field_70714_bg,tasks,0,
field_70715_bh,targetTasks,0,
field_70716_bi,newPosRotationIncrements,0,The number of updates over which the new position and rotation are to be applied to the entity.
field_70717_bb,attackingPlayer,0,The most recent player that has attacked this entity
field_70718_bc,recentlyHit,0,"Set to 60 when hit by the player or the player's wolf, then decrements. Used to determine whether the entity should drop items on death."
field_70720_be,arrowHitTimer,0,
field_70721_aZ,limbYaw,0,
field_70722_aY,prevLimbYaw,0,
field_70723_bA,senses,0,
field_70724_aR,attackTime,0,
field_70725_aQ,deathTime,0,"The amount of time remaining this entity should act 'dead', i.e. have a corpse in the world."
field_70726_aT,cameraPitch,0,
field_70727_aS,prevCameraPitch,0,
field_70728_aV,experienceValue,0,The experience points the Entity gives.
field_70729_aU,dead,0,"This gets set on entity death, but never used. Looks like a duplicate of isDead"
field_70732_aI,prevSwingProgress,0,
field_70733_aJ,swingProgress,0,
field_70734_aK,health,0,
field_70735_aL,prevHealth,0,
field_70736_aM,carryoverDamage,0,"in each step in the damage calculations, this is set to the 'carryover' that would result if someone was damaged .25 hearts (for example), and added to the damage in the next step"
field_70737_aN,hurtTime,0,The amount of time remaining this entity should act 'hurt'. (Visual appearance of red tint)
field_70738_aO,maxHurtTime,0,What the hurt time was max set to last.
field_70739_aP,attackedAtYaw,0,The yaw at which this entity was last attacked from.
field_70742_aC,entityType,0,a string holding the type of entity it is currently only implemented in entityPlayer(as 'humanoid')
field_70744_aE,scoreValue,0,"The score value of the Mob, the amount of points the mob is worth."
field_70746_aG,landMovementFactor,0,"A factor used to determine how far this entity will move each tick if it is walking on land. Adjusted by speed, and slipperiness of the current block."
field_70747_aH,jumpMovementFactor,0,A factor used to determine how far this entity will move each tick if it is jumping or falling.
field_70749_g,lookHelper,0,
field_70750_az,texture,0,the path for the texture of this entityLiving
field_70751_d,lastAttackingEntity,0,
field_70752_e,potionsNeedUpdate,0,Whether the DataWatcher needs to be updated with the active potions
field_70754_ba,limbSwing,0,Only relevant when limbYaw is not 0(the entity is moving). Influences where in its swing legs and arms currently are.
field_70755_b,entityLivingToAttack,0,"is only being set, has no uses as of MC 1.1"
field_70756_c,revengeTimer,0,
field_70757_a,livingSoundTime,0,Number of ticks since this EntityLiving last produced its sound
field_70758_at,prevRotationYawHead,0,Entity head rotation yaw at previous tick
field_70759_as,rotationYawHead,0,Entity head rotation yaw
field_70760_ar,prevRenderYawOffset,0,
field_70761_aq,renderYawOffset,0,
field_70762_j,bodyHelper,0,
field_70765_h,moveHelper,0,
field_70767_i,jumpHelper,0,Entity jumping helper
field_70771_an,maxHurtResistantTime,0,
field_70772_bD,maximumHomeDistance,0,If -1 there is no maximum distance
field_70773_bE,jumpTicks,0,Number of ticks since last jump
field_70774_bB,AIMoveSpeed,0,
field_70775_bC,homePosition,0,
field_70776_bF,currentTarget,0,This entity's current target.
field_70786_d,pathToEntity,0,
field_70787_b,hasAttacked,0,returns true if a creature has attacked recently only used for creepers and skeletons
field_70788_c,fleeingTick,0,Used to make a creature speed up and wander away when hit.
field_70789_a,entityToAttack,0,The Entity this EntityCreature is set to attack.
field_70791_f,attackCounter,0,
field_70792_g,targetedEntity,0,
field_70793_d,waypointZ,0,
field_70794_e,prevAttackCounter,0,
field_70795_b,waypointX,0,
field_70796_c,waypointY,0,
field_70797_a,courseChangeCooldown,0,
field_70798_h,aggroCooldown,0,Cooldown time between target loss and new target aquirement.
field_70810_d,slimeJumpDelay,0,the time between each jump of the slime
field_70827_d,carriableBlocks,0,
field_70828_e,teleportDelay,0,Counter to delay the teleportation of an enderman towards the currently attacked target
field_70833_d,timeSinceIgnited,0,The amount of time since the creeper was close enough to the player to ignite
field_70834_e,lastActiveTime,0,"Time when this creeper was last in an active state (Messed up code here, probably causes creeper animation to go weird)"
field_70837_d,angerLevel,0,Above zero if this PigZombie is Angry.
field_70838_e,randomSoundDelay,0,A random delay until this PigZombie next makes a sound.
field_70843_d,allySummonCooldown,0,A cooldown before this entity will search for another Silverfish to join them in battle.
field_70847_d,heightOffset,0,Random offset used in floating behaviour
field_70848_e,heightOffsetUpdateTime,0,ticks until heightOffset is randomized
field_70855_f,attackTimer,0,
field_70856_g,holdRoseTick,0,
field_70857_d,villageObj,0,
field_70858_e,homeCheckTimer,0,"deincrements, and a distance-to-home check is done at 0"
field_70859_f,squidYaw,0,
field_70860_g,prevSquidYaw,0,
field_70861_d,squidPitch,0,
field_70862_e,prevSquidPitch,0,
field_70863_bz,randomMotionSpeed,0,
field_70865_by,prevTentacleAngle,0,the last calculated angle of the tentacles in radians
field_70866_j,tentacleAngle,0,angle of the tentacles in radians
field_70869_bD,randomMotionVecY,0,
field_70870_bE,randomMotionVecZ,0,
field_70872_bC,randomMotionVecX,0,
field_70881_d,inLove,0,
field_70882_e,breeding,0,This is representation of a counter for reproduction progress. (Note that this is different from the inLove which represent being in Love-Mode)
field_70883_f,destPos,0,
field_70887_j,timeUntilNextEgg,0,The time until the next egg is spawned.
field_70897_f,aiEatGrass,0,The eat grass AI task for this mob.
field_70898_d,fleeceColorTable,0,Holds the RGB table of the sheep colors - in OpenGL glColor3f values - used to render the sheep colored fleece.
field_70899_e,sheepTimer,0,Used to control movement as well as wool regrowth. Set to 40 on handleHealthUpdate and counts down with each tick.
field_70911_d,aiSit,0,
field_70914_e,aiTempt,0,"The tempt AI task for this mob, used to prevent taming while it is fleeing."
field_70925_g,isShaking,0,true is the wolf is wet else false
field_70927_j,prevTimeWolfIsShaking,0,
field_70929_i,timeWolfIsShaking,0,This time increases while wolf is shaking and emitting water particles.
field_70935_b,customer,0,This merchant's current player customer.
field_70936_c,recipeList,0,The MerchantRecipeList instance.
field_70937_a,theMerchantInventory,0,Instance of Merchants Inventory.
field_70952_f,isMating,0,
field_70953_g,isPlaying,0,
field_70954_d,villageObj,0,
field_70955_e,randomTickDivider,0,
field_70956_bz,wealth,0,
field_70958_bB,villagerStockList,0,a villagers recipe list is intialized off this list ; the 2 params are min/max amount they will trade for 1 emerald
field_70959_by,needsInitilization,0,addDefaultEquipmentAndRecipies is called if this is true
field_70960_bC,blacksmithSellingList,0,"Selling list of Blacksmith items. negative numbers mean 1 emerald for n items, positive numbers are n emeralds for 1 item"
field_70961_j,timeUntilReset,0,
field_70962_h,buyingPlayer,0,This villager's current customer.
field_70963_i,buyingList,0,Initialises the MerchantRecipeList.java
field_70976_f,ringBufferIndex,0,Index into the ring buffer. Incremented once per tick and restarts at 0 once it reaches the end of the buffer.
field_70977_g,dragonPartArray,0,An array containing all body parts of this dragon
field_70978_d,targetZ,0,
field_70979_e,ringBuffer,0,Ring buffer array for the last 64 Y-positions and yaw rotations. Used to calculate offsets for the animations.
field_70980_b,targetX,0,
field_70981_c,targetY,0,
field_70982_bz,dragonPartTail3,0,
field_70983_bA,dragonPartWing1,0,
field_70984_by,dragonPartTail2,0,
field_70985_j,dragonPartTail1,0,
field_70986_h,dragonPartHead,0,The head bounding box of a dragon
field_70987_i,dragonPartBody,0,The body bounding box of a dragon
field_70988_bD,animTime,0,"Animation time, used to control the speed of the animation cycles (wings flapping, jaw opening, etc.)"
field_70989_bE,forceNewTarget,0,Force selecting a new flight target at next tick if set to true.
field_70990_bB,dragonPartWing2,0,
field_70991_bC,prevAnimTime,0,Animation time at previous tick.
field_70992_bH,healingEnderCrystal,0,The current endercrystal that is healing this dragon
field_70993_bI,target,0,
field_70994_bF,slowed,0,"Activated if the dragon is flying though obsidian, white stone or bedrock. Slows movement and animation speed."
field_70995_bG,deathTicks,0,
field_71067_cb,experienceTotal,0,The total amount of experience the player has. This also includes the amount of experience within their Experience Bar.
field_71068_ca,experienceLevel,0,The current experience level the player is on.
field_71069_bz,inventoryContainer,0,The Container for the player's inventory (which opens when they press E)
field_71070_bA,openContainer,0,The Container the player has open.
field_71071_by,inventory,0,Inventory of the player
field_71072_f,itemInUseCount,0,This field starts off equal to getMaxItemUseDuration and is decremented on each tick
field_71073_d,startMinecartRidingCoordinate,0,Holds the coordinate of the player when enter a minecraft to ride.
field_71074_e,itemInUse,0,"This is the item that is in use when the player is holding down the useItemButton (e.g., bow, food, sword)"
field_71075_bZ,capabilities,0,The player's capabilities. (See class PlayerCapabilities)
field_71076_b,sleepTimer,0,
field_71077_c,spawnChunk,0,Holds the last coordinate to spawn based on last bed that the player sleep.
field_71078_a,theInventoryEnderChest,0,
field_71080_cy,prevTimeInPortal,0,The amount of time an entity has been in a Portal the previous tick
field_71081_bT,playerLocation,0,The chunk coordinates of the bed the player is in (null if player isn't in a bed).
field_71083_bS,sleeping,0,Boolean value indicating weather a player is sleeping or not
field_71086_bY,timeInPortal,0,The amount of time an entity has been in a Portal
field_71087_bX,inPortal,0,Whether the entity is inside a Portal
field_71088_bW,timeUntilPortal,0,
field_71090_bL,xpCooldown,0,Used by EntityPlayer to prevent too many xp orbs from getting absorbed at once.
field_71092_bJ,username,0,
field_71093_bK,dimension,0,"Which dimension the player is in (-1 = the Nether, 0 = normal world)"
field_71100_bB,foodStats,0,The player's food stats. (See class FoodStats)
field_71101_bC,flyToggleTimer,0,"Used to tell if the player pressed jump twice. If this is at 0 and it's pressed (And they are allowed to fly, as defined in the player's movementInput) it sets this to 7. If it's pressed and it's greater than 0 enable fly."
field_71102_ce,speedInAir,0,
field_71104_cf,fishEntity,0,"An instance of a fishing rod's hook. If this isn't null, the icon image of the fishing rod is slightly different"
field_71106_cc,experience,0,The current amount of experience the player has within their Experience Bar.
field_71107_bF,prevCameraYaw,0,
field_71108_cd,speedOnGround,0,
field_71109_bG,cameraYaw,0,
field_71129_f,loadedChunks,0,LinkedList that holds the loaded chunks.
field_71130_g,destroyedItemsNetCache,0,entities added to this list will  be packet29'd to the player
field_71131_d,managedPosX,0,player X position as seen by PlayerManager
field_71132_e,managedPosZ,0,player Z position as seen by PlayerManager
field_71133_b,mcServer,0,Reference to the MinecraftServer object.
field_71134_c,theItemInWorldManager,0,The ItemInWorldManager belonging to this player
field_71135_a,playerNetServerHandler,0,The NetServerHandler assigned to this player by the ServerConfigurationManager.
field_71136_j,playerConqueredTheEnd,0,"Set when a player beats the ender dragon, used to respawn the player at the spawn point while retaining inventory and XP"
field_71137_h,playerInventoryBeingManipulated,0,"poor mans concurency flag, lets hope the jvm doesn't re-order the setting of this flag wrt the inventory change on the next line"
field_71138_i,ping,0,
field_71139_cq,currentWindowId,0,The currently in use window ID. Incremented every time a window is opened.
field_71140_co,chatColours,0,
field_71142_cm,renderDistance,0,must be between 3>x>15 (strictly between)
field_71143_cn,chatVisibility,0,
field_71144_ck,lastExperience,0,Amount of experience the client was last set to
field_71145_cl,initialInvulnerability,0,"de-increments onUpdate, attackEntityFrom is ignored if this >0"
field_71146_ci,lastFoodLevel,0,set to foodStats.GetFoodLevel
field_71147_cj,wasHungry,0,set to foodStats.getSaturationLevel() == 0.0F each tick
field_71148_cg,translator,0,
field_71149_ch,lastHealth,0,set to getHealth
field_71154_f,renderArmYaw,0,
field_71155_g,renderArmPitch,0,
field_71156_d,sprintToggleTimer,0,"Used to tell if the player pressed forward twice. If this is at 0 and it's pressed (And they are allowed to sprint, aka enough food on the ground etc) it sets this to 7. If it's pressed and it's greater than 0 enable sprinting."
field_71157_e,sprintingTicksLeft,0,Ticks left before sprinting is disabled.
field_71158_b,movementInput,0,
field_71159_c,mc,0,
field_71163_h,prevRenderArmYaw,0,
field_71164_i,prevRenderArmPitch,0,
field_71169_cp,hasSetHealth,0,has the client player's health been set?
field_71170_cm,shouldStopSneaking,0,should the player stop sneaking?
field_71171_cn,wasSneaking,0,
field_71172_ck,oldRotationPitch,0,
field_71173_cl,wasOnGround,0,Check if was on ground last update
field_71174_a,sendQueue,0,
field_71175_ci,oldPosZ,0,
field_71176_cj,oldRotationYaw,0,
field_71177_cg,oldMinY,0,Old Minimum Y of the bounding box
field_71178_ch,oldPosY,0,
field_71179_j,oldPosX,0,
field_71180_f,otherPlayerMPYaw,0,
field_71181_g,otherPlayerMPPitch,0,
field_71182_d,otherPlayerMPY,0,
field_71183_e,otherPlayerMPZ,0,
field_71184_b,otherPlayerMPPosRotationIncrements,0,
field_71185_c,otherPlayerMPX,0,
field_71186_a,isItemInUse,0,
field_71280_D,buildLimit,0,Maximum build height.
